Amount Awarded,Core Funding Area,Initiative,Project Duration,Region,summary,TWCF Number,url
"$233,999",Big Questions,Diverse Intelligences,7 February 2020 - 6 April 2022,North America,"When a child spends hours building a Lego rocket ship or running a fictional restaurant, are they developing their extraordinary learning abilities? Conventional wisdom suggests they are. But despite many empirical investigations into this claim, it has proved difficult to substantiate. In collaboration with a world-class team of developmental and computational cognitive scientists, primary investigators Tomer Ullman and Alison Gopnik will explore how play can help people and machines learn. They will use a novel computational model of play to understand two central questions: Why do humans play? And how do they develop new goals and set new objectives?Typically, computational systems have a well-defined set of goals or problems that the system must solve. Humans, however, have the ability to pose brand new problems and goals and develop new ways to solve them. Play—which, by definition, is designed without a specific purpose—may provide an important underpinning of this ability. This project proposes that much of children’s imaginative and exploratory play arises from “competence-directed curiosity”—a fundamental motivation to figure out how they can achieve goals. By adopting a novel computational framework, it will explore the full richness and potential of play. ",0434,https://www.templetonworldcharity.org/projects-database/play-computational-perspective
"$211,511",Big Questions,Diverse Intelligences,7 February 2020 - 31 March 2021,North America,"New developments in artificial intelligence are generating unprecedented challenges and opportunities for human flourishing, as well as a wave of urgent calls for expert guidance in the ethical use of AI and other emerging technologies. Yet both the quantity and quality of the available guidance fall short. That’s where the Summer Institute in Technology Ethics at Santa Clara University (SITE) steps in. SITE is a two-week, intensive, interdisciplinary educational program for philosophers and technologists. It draws on the unique talents of its faculty to bridge significant gaps in the moral expertise available to meet these calls: a knowledge gap and a character gap.The knowledge gap refers to the missing rigor of many explorations of AI ethics currently in fashion. These methods often overlook the existing body of specialized research on the unique moral challenges of our technological landscape, and AI in particular. The SITE faculty roster includes many of the world’s leading researchers in this field. The character gap refers to the narrowly cost-benefit and technology-focused character of today’s dialogue on AI ethics. Its primary emphasis is on improving the technology to mitigate its harms and expand its benefits. This conversation neglects the task of making technology a means to further empower and enrich human capacities including those for moral intelligence and shared flourishing. As leading experts in virtue and character-based approaches to technology and AI ethics, the SITE core faculty members fill in this gap.Shannon Vallor in particular is internationally renowned for her work on using AI to sustain and enhance human moral intelligence and character. The SITE curriculum draws its core inspiration from that orientation. The Markkula Center for Applied Ethics will develop and teach the Summer Institute in Technology Ethics at Santa Clara University in 2020. The pilot will lay the groundwork for an annual program that enhances the rigor and character of moral expertise in AI and technology ethics shared by academics and working technologists.",0465,https://www.templetonworldcharity.org/projects-database/summer-institute-technology-ethics-santa-clara-university
"$233,927",Big Questions,Diverse Intelligences,7 February 2020 - 6 April 2022,Europe,"Empathy—the capacity to share and understand the feelings of others, and to respond to them with care—is often considered the foundation of healthy social bonds. Some have argued that our ability to empathize with others is the single most important element of moral character: the cornerstone of virtue and the foundation of morality. But recent research suggests that empathy may have hidden negative consequences. This is because empathy is not impartial, but biased by factors such as social similarity and closeness. As such, empathy can hinder moral ideals like equality and justice.How do we foster intelligent empathy while avoiding its negative potential? The answer to this question may lie in recognizing that empathy is a skill that is socially learned, as exemplified by cultural variation in empathy’s affective, cognitive, and motivational signatures. But when in children’s development does variation in empathic expression arise? What are the features of a particular society that promote the expression of empathy? To date, our understanding of empathy is heavily confined to research on Western societies, demanding cross-cultural approaches.The aim of this Diverse Intelligences project, directed by Alecia Carter, is to understand when cultural differences in the expression of empathy emerge over the course of individual development, applying novel predictive frameworks from behavioral ecology to illuminate social conditions and constraints on empathy’s expression in different human societies. Dr. Carter’s team aims to (1) systematically study cultural divergences in the development of empathy in 10 diverse cultures in Indonesia and (2) initiate a collaborative, global database documenting cultures of empathy from around the world. This global approach will provide evidence-based avenues for promoting a socially learned empathy that contributes to both individual and societal flourishing across an array of human cultural contexts.",0439,https://www.templetonworldcharity.org/projects-database/cultures-empathy-unlocking-key-empathic-intelligence
"$580,009",Character Virtue Development,,6 January 2020 - 16 December 2022,South America,"This project aims to foster human flourishing of people who have been forcibly displaced by the violent armed conflict in Colombia. It is part of the Faith and Displacement project, an intervention developed and tested through a previous Templeton World Charity Foundation grant. This follow-on project will update the intervention in light of the pilot implementation, scale it through a diploma course, and document the project so that future researchers can adapt a humble approach to missiology in other contexts.In Colombia—where over 7,400,000 people have been forcibly displaced by violence—a renewed integral missiology will enable the Protestant Church to become better able to foster human flourishing. Beyond the immediate impact of this project, the Colombian test case illustrates how a humble approach to integral missiology could help other religious communities confronting diverse crises around the world be more effective agents of fostering holistic human flourishing.Directed by Dr. Christopher M. Hays, the project proposes that the human flourishing of internally displaced persons (IDPs) in Colombia can be fostered through the application of a humble approach to integral missiology, resulting in:",0369,https://www.templetonworldcharity.org/projects-database/integral-missiology-and-human-flourishing-internally-displaced-persons-colombia-0
"$233,999",Big Questions,Diverse Intelligences,3 January 2020 - 30 April 2022,North America,"Against this backdrop, concerns have arisen that reliance on artificial intelligence (AI) may further erode human moral capacities. Yet this decline may not be inevitable if we design AI with a different goal in mind.Barbara Fredrickson’s expertise in psychology spotlights the emotion of love as a means through which humans can improve moral decisions. This Diverse Intelligences project aims to program and test an AI agent to teach humans (particularly young digital natives) that face-to-face positive connection with other humans is vital physical and emotional health.In Dr. Fredrickson’s 2013 book, Love 2.0, she theorizes that this connection—termed “positivity resonance”—is the most elemental building block of love. Such moments, she proposes, function as crucibles for strengthening virtue—specifically, self-transcendence that recognizes a oneness across all humanity, and in turn inspires selfless altruism and humility.Dr. Fredrickson has connected with Jonathan Gratch, a world-renowned developer of responsive AI agents, to forge a new multi-disciplinary collaboration, one that also includes philosophy doctoral student Michael Prinzing. The team herein seeks basic science funding to test whether, when, and how AI can strengthen human virtues. Deliverables include empirical reports to spark discussion in both scientific and lay communities about the unique potential AI may hold to accelerate human moral development, plus a roadmap for developing AI tools to help humans reach their higher ground by enacting virtue daily.",0472,https://www.templetonworldcharity.org/projects-database/understanding-whether-when-and-how-artificial-intelligence-can-strengthen-human
"$443,852",Big Questions,Big Questions in Classrooms,1 January 2020 - 31 December 2022,Europe,"Scientists increasingly work in areas where interdisciplinary collaboration is important. Yet science in schools can seem cut-and-dried with formulaic correct answers. Science-in-the-making, meanwhile, is dynamic and creative. It deals with the bigger questions facing society today—questions which science alone cannot address. As part of the Big Questions in Classrooms initiative, Judith Bennett and her team will attempt to bridge this disconnect between secondary school science learning and science in the real world. In seeking to broaden young people's perspectives, they aim to ensure that the next generation of scientists is more aware of what the sciences can—and cannot—do. The project will also show students how working with other disciplines (history, philosophy, politics and religious studies) maximizes the potential of the sciences to benefit society.A series of frontier science topics—ranging from art conservation to gene editing to human enhancement—will foreground innovative resources, pedagogy, and professional development for teachers in upper secondary school science subjects. These research-informed resources will be disseminated nationally and internationally through a massive online open course (MOOC). The goal is to help teachers and students develop an enhanced appreciation of the links between the sciences and other disciplines.By the end of the project, the team anticipates that teachers of the sciences at upper high school level will have a broader perspective on science and feel more confident in communicating this to their students. In turn, students will show an enhanced appreciation of science and of its connections to other disciplines.​",0374,https://www.templetonworldcharity.org/projects-database/science-beyond-boundaries
"$209,502",Big Questions,,1 January 2020 - 31 December 2022,Oceania,"In the last two years, a strong community of scientists and theologians has coalesced under the umbrella of New Zealand Christians in Science (NZCIS). Funded by a Templeton World Charity Foundation grant, NZCIS enabled them to engage the big questions around science and faith. Its online blogs, regular talks, and high-profile visiting speakers have facilitated helpful, innovative, and robust theological discussions. Core groups have formed at the University of Auckland (UoA) and at Otago University.Now, NZCIS seeks to expand and deepen its impact. First, it will expand its presence in university centers in several ways:Second, NZCIS will cultivate leaders in local churches, especially those serving young adults. Taking inspiration from the STEAM project in the United States learning, NZCIS will engage churches in the following ways:By expanding NZCIS’s geographical impact, breadth of voices, quality of discussions, and resources for churches, project director Graeme Finlay and his team hope to see a new phase of growth and an enhanced ability to engage the public.",0404,https://www.templetonworldcharity.org/projects-database/going-deeper-presenting-faith-and-science-postmodern-world
"$233,999",Big Questions,Diverse Intelligences,1 January 2020 - 31 December 2022,North America,"In today’s world of rapid advances in artificial intelligence (AI), there is an urgent need for frameworks that incorporate humans “in the loop” with AI systems to ensure moral and ethical decision making. This Diverse Intelligences project, directed by Rajesh Rao, proposes a novel way to achieve this goal using a paradigm that involves “raising” AI agents in different human cultures. This approach ensures deep human feedback throughout the AI’s learning process, emulating the process of raising a moral and ethical human child.Just as a child raised in a particular culture learns the cultural values and norms of that society, Dr. Rao’s team hypothesizes that AI agents that go through a period of childlike learning in a human society will acquire a “value system” aligned with that society’s moral, ethical, and cultural norms. Rather than arguing that the machine is a moral agent, the project team believes that today’s AI, when steeped in human culture, is capable of learning cultural rules, norms, and values. To test their idea, Dr. Rao and his team propose a new experimental paradigm in which AI systems are “raised” in online virtual worlds by large numbers of humans from different cultures across the world. They will implement AI systems based on probabilistic reasoning and model-based reinforcement learning using an online virtual platform and allow the AI to learn behaviors and cultural mores by observing and interacting with humans in online virtual worlds. By deploying such an experimental paradigm across the world using different languages and custom environments, the team will explore the impact of cultural and social learning on the development of uniquely human attributes such as morality and altruism toward others. ",0432,https://www.templetonworldcharity.org/projects-database/growing-ai-within-culture-moral-intelligence-human-ai-interactions-across-world
"$1,606,435",Other Charitable Purposes,,1 December 2019 - 30 November 2022,Europe,"Can an integrated science of global risk safeguard humanity’s long-term future?Global risks are those whose impact cannot be contained in individual regions or industries. Examples include pandemics, biodiversity loss, and the malicious use of artificial intelligence. While some research and policy communities focus on specific global risks, such as climate change or nuclear war, such risks will not emerge in isolation. There remains a need to study this class of risks as a whole.A Science of Global Risk (SGR) aims to develop an interdisciplinary research effort to analyze emerging global risks and develop new solutions for managing them. The project will be led by a research team based at the University of Cambridge’s Centre for the Study of Existential Risk. Working with a global network of collaborators, they will build on the success of the pilot project Managing Extreme Technological Risk.Achieving meaningful action requires a complex level of collaboration and coordination from scientists, policy-makers, developers, and other stakeholders worldwide. Directed by Lord Martin Rees, the project will develop the basis for a science of global risk that is methodologically rigorous and creative, focused on risk management and policy formation, and accessible to a diverse community of stakeholders across academia, industry, government and civil society. The project consists of three interwoven strands:The project will result in a series of high-profile academic papers, policy reports, two books, and a range of media outputs for broader public engagement. These outputs will support engagement with interdisciplinary academic expertise, relevant policy communities, research leaders and industry",0367,https://www.templetonworldcharity.org/projects-database/science-global-risk
"$234,000",Character Virtue Development,,15 October 2019 - 15 October 2021,Europe,"Preventive psychosocial support interventions can improve psychosocial wellbeing and promote resilience of conflict-affected children. Yet few studies have evaluated the outcomes or effectiveness of such interventions. War Child aims to address this gap by evaluating the outcomes of Team Up, a movement-based psychosocial support intervention for refugee youth.War Child (WCH) works to improve the resilience and wellbeing of children affected by violence and armed conflict. In partnership with UNICEF and Save the Children, WCH launched the Team Up program in 2016. Designed for schools and Child Friendly Spaces (CFSs)—spaces set up by agencies to support children during emergencies—Team Up consists of low-intensity recreational activities structured around eight psychosocial themes. These activities help children develop skills and behaviors to manage their anger, resolve conflicts, and develop respectful and friendly interpersonal relations. The easy-access intervention aims to enable children to better process their emotions, increase feelings of joy and optimism, and foster collaboration, respect, and friendships among children. Having been implemented and evaluated in refugee centers in the Netherlands, TeamUp is currently underway in refugee camps in Uganda.Directed by Dr. Mark Jordans, this project will evaluate the outcomes of TeamUp. The team hypothesizes that compared to children in the control group, TeamUp participants will show improved resilience and psychosocial wellbeing. This will provide evidence for potential impact and inform scale-up in similar low-resource settings.Outputs will include a peer-reviewed article and policy report to guide psychosocial program implementation in humanitarian settings. The ultimate goal is for TeamUp to become the intervention of choice for implementation in emergencies throughout the humanitarian sector.",0409,https://www.templetonworldcharity.org/projects-database/building-character-strengths-wellbeing-and-resilience-refugee-children-evaluating
"$234,000",Big Questions,Big Questions in Classrooms,1 October 2019 - 30 September 2022,Europe,"This project will examine and investigate the challenge of the teaching of evolution and origins in Israel, where science is generally accepted as a valuable way of understanding and describing the natural world, and where religious beliefs and cultural heritage remain a valuable lens for understanding the world and humanity’s place within it. Despite being a scientific theory that is both contentious and difficult to teach, evolutionary theory has received little attention in Israeli education research. This is an opportune moment for such work.Directed by Hanan Alexander, the project will systematically research and analyse the educational philosophies, policies, curricula, and attitudes and practices that underlie the teaching of evolutionary theory, on the one hand, and religious and non-religious worldviews about human origins, on the other. These analyses will inform the pilot of a new teaching strategy, rooted in the “pedagogy of difference,” for addressing challenges to the teaching of evolution in a mix of Israeli school settings including religious- and secular-Jewish, Christian, and Muslim schools.Although this project focuses on evolution and origins, its implications are broader for understanding how knowledge works in different domains. It will inform thinking about how to teach scientific theories accurately in a manner that is sensitive to students whose beliefs may seem to be at odds with prevailing scientific theories. It will also aid our understanding of how to help students explore the meaning of core religious narratives without discounting scientific theories or alienating students whose worldviews may privilege scientific over religious explanations. Hanan Alexander’s team will disseminate their findings through academic publications, popular essays, and a book written for a broad audience. They also plan to promote their work to Israeli policy makers through workshops for Ministry of Education personnel and teachers.",0368,https://www.templetonworldcharity.org/projects-database/dialogue-science-and-religious-education-evolution-instruction-diverse-democratic
"$444,831",Big Questions,Big Questions in Classrooms,1 October 2019 - 30 September 2022,Europe,"Religions are dynamic and complex, but these features are not always taken into account in religious education (RE). A multidisciplinary approach to learning about religions and worldviews can reveal their historical, geographical, and cultural contexts, as well as the personal contexts of those who practice religion. The big questions that religions address also require the perspectives of different disciplines.RE Today will produce resource books and professional development for exploring RE through the disciplinary lenses of theology, philosophy, religious studies, natural sciences, psychology, and sociology. By giving primary and secondary RE teachers access to creative and engaging strategies, resources, and training, Stephen Pett and RE Today’s advisors will stimulate thinking and teaching about how knowledge works in religious education.This Big Questions in Classrooms project addresses the following questions:Project outputs will include twelve books of resources and strategies (six for primary teachers and six for secondary teachers). These will each explore appropriate content from the perspective of two disciplines, introducing teachers and their pupils to the questions asked, the methods used, and the answers given by these disciplines. Training opportunities will be offered alongside these print resources at different levels of engagement.The team aims to enable around 4000 teachers to practice multidisciplinary RE by giving them access to creative, stimulating, and engaging strategies and resources, along with different levels of training and support. Through these resources, the project will influence conversations around the future development of RE in England and beyond.",0376,https://www.templetonworldcharity.org/projects-database/challenging-knowledge-re-big-questions-different-perspectives
"$147,810",Character Virtue Development,,1 October 2019 - 30 November 2020,North America,"In March 2019, Templeton World Charity Foundation announced the first round of projects in Global Innovation for Character Development (GICD). Now, researchers at the Jubilee Centre for Character and Virtues will develop a new platform to support current and prospective GICD grantees. This platform will help Templeton World Charity Foundation continue to grow its portfolio of high-caliber scientific innovations that promote character strengths in diverse contexts worldwide. Led by Prof. Andrew Peterson, the project team brings together experts with a range of complementary skills. The new platform will connect GICD grantees and grant applicants with the Jubilee Centre’s international networks and vast resources. It will also give them access to key conceptual frameworks and cutting-edge research methods, and it will help them effectively prepare for scale and sustainability, amplifying the impact of GICD projects.",0446,https://www.templetonworldcharity.org/projects-database/global-innovations-character-development-platform
"$222,444",Character Virtue Development,,30 September 2019 - 30 November 2020,North America,"Directed by Dr. Richard Lerner, this project will create a platform serving current and future grantees of Templeton World Charity Foundation’s Global Innovations for Character Development initiative (GICD). The Institute for Applied Research in Youth Development (IARYD) will lead the development of a multi-site, multi-institutional, and multi-national capacity-building platform for GICD programs. A key, substantive and strategic partner in this vision is the Society for Research in Child Development (SRCD)—and specifically its 272 active members from low- and middle-income countries (LMICs).",0447,https://www.templetonworldcharity.org/projects-database/creating-platform-global-innovation-and-capacity-building-design-implementation
"$234,000",Other Charitable Purposes,,16 September 2019 - 30 November 2021,Europe,"The Europaeum will offer scholarships to create a morally aware cadre of nascent leaders committed to shaping the future of Europe for the better. These exceptional young people will possess not only strong leadership qualities but also the ability to work collaboratively.The Europaeum is an association of sixteen of Europe’s best universities. It connects students and faculty in the humanities and social sciences between universities, and between the universities and European society. Led by Dr. Andrew Graham, this project will create a series of part-time, two-year intensive programs available only to the most outstanding doctoral students from these top universities.Set within the context of contemporary Europe, the program will help participants develop skills, leadership, character qualities, and a deeper understanding of ethical issues. To achieve these goals, the curriculum will emphasize multidisciplinary teamwork, problem solving, and learning by doing.Like Aristotle, the project team believes that good character formation is not just taught but learned by habit. With this in mind, the program will serve as the building blocks for an alumni network, which will sustain what the program has begun. By germinating the seeds planted by  program, the network will have a long-term impact will be greater than the sum of the effects on individual participants alumni.Leadership by the best minds has potential benefits for all of humanity",0425,https://www.templetonworldcharity.org/projects-database/character-formation-and-development-leaders-europe-europaeum-scholarships
